accident_type,accidents,deaths,injured
Yoldan Cikma,13975,804,26826
Yandan Carpma,11328,557,23339
Arkadan Carpma,10306,527,19313
Devrilme/Savrulma/Takla,6905,292,11228
Engel/Cisim Ile Carpisma,3867,140,6440
Yayaya Carpma,2242,446,2251
Karsilikli Carpisma,1922,397,5285
Yan Yana Carpisma,782,19,1383
Duran Araca Carpma,642,74,1071
Coklu Carpisma,516,54,1439
Zincirleme Carpisma,613,19,1625
Hayvana Carpma,543,11,927
Aractan Insan Dusmesi,217,10,244
Park Etmis Araca Carpma,143,11,236
Aractan Cisim Dusmesi,45,2,66
