month,month_no,accidents,accidents_pct,deaths,deaths_pct,injured,injured_pct
Ocak,1,3384,6.27,212,6.30,6444,6.33
Şubat,2,2922,5.41,188,5.59,5207,5.12
Mart,3,3646,6.75,241,7.17,6502,6.40
Nisan,4,4510,8.34,305,9.07,8706,8.56
Mayıs,5,4256,7.87,265,7.88,7686,7.56
Haziran,6,5647,10.45,334,9.93,11421,11.23
Temmuz,7,5450,10.08,355,10.56,10590,10.42
Ağustos,8,6081,11.25,401,11.92,12046,11.85
Eylül,9,5335,9.87,314,9.34,10164,10.00
Ekim,10,4740,8.77,277,8.24,8243,8.11
Kasım,11,4286,7.93,260,7.73,7761,7.63
Aralık,12,3789,7.01,211,6.27,6903,6.79
